DATAFLOW,CLASSIFICATION: Classification,MEASURE: Measure,"SALTS: Sex, Age, and Location","SALTSSTUB: Sex, Age, and Location Questions",CYCLE: Cycle,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,3.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,9.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,9.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,10.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,16.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,16.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,14.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,83.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,83.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,85.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,56.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,63.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,59.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,24.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,14.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,11.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,10.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,12.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,7.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,7.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,19.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,18,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,19.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,14.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,12.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,12.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,85.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,87.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,87.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),NSW: NSW,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,51.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,54.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,42.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,23.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,18.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,25,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,13.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,14.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,15.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,11.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,10,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,10.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,24.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,24.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,26.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,17,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,19.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,83,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,80.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,82.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),VIC: Vic.,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,57.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,57,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,55.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,19.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,20.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,22.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,13.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,11.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,9.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,9.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,7.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,7.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,22.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,19.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,20.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,18.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,79.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,81.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,82.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),QLD: Qld,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,63.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,61.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,57.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,19.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,19,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,20.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,12.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,9.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,10.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,4.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,7.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,17,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,17.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,19.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,14.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,15.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,80.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,85.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SA: SA,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,84.7,PCT: Percent,,
